Created,User Name,Page Name,state,state_code,gov_party,state_pop_2010,total_daily_posts,daily_positive_eng,daily_negative_eng,daily_total_interactions,daily_comments,daily_shares,total_confirmed,total_deaths
2020-10-15,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,11,73,0,101,4,24,274,2
2020-10-15,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,3,66,0,110,6,38,14,0
2020-10-15,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,4,118,1,274,90,65,1874,-68
2020-10-15,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,2,424,251,2480,591,1214,1322,12
2020-10-15,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,4,21,38,132,58,15,718,1
2020-10-15,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,2,258,128,771,184,201,4014,53
2020-10-15,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,2,38,0,78,1,39,1152,11
2020-10-15,kypublichealth,Kentucky Department for Public Health,Kentucky,KY,democratic,4468402,1,3,0,13,4,6,1182,20
2020-10-15,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,4,73,13,223,14,123,743,12
2020-10-15,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,1,26,0,45,5,14,630,6
2020-10-15,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,2,106,3,163,10,44,2458,34
2020-10-15,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,7,311,39,703,292,61,1163,19
2020-10-15,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,8,274,92,1107,428,313,2532,18
2020-10-15,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,4,1073,278,4105,1443,1311,706,5
2020-10-15,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,4,38,0,59,3,18,961,5
2020-10-15,nhdepartmentofhealthandhumanservices,NH Department of Health and Human Services,New Hampshire,NH,republican,1356458,2,20,6,50,11,13,77,5
2020-10-15,njdeptofhealth,New Jersey Department of Health,New Jersey,NJ,democratic,8908520,3,307,40,414,33,34,1163,6
2020-10-15,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,9,74,5,137,11,47,668,1
2020-10-15,nvhealthandhumanservices,Nevada Department of Health and Human Services,Nevada,NV,democratic,3034392,1,3,0,8,1,4,655,7
2020-10-15,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,4,76,20,219,90,33,1538,24
2020-10-15,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,2,127,13,411,155,116,2178,5
2020-10-15,oklahomahealth,Oklahoma State Department of Health,Oklahoma,OK,republican,3943079,2,34,3,64,21,6,1221,11
2020-10-15,oregonhealthauthority,Oregon Health Authority,Oregon,OR,democratic,4190713,3,168,109,833,432,124,365,3
2020-10-15,pennsylvaniadepartmentofhealth,Pennsylvania Department of Health,Pennsylvania,PA,democratic,12807060,10,1457,109,3631,1777,288,1551,22
2020-10-15,scdhec,SC DHEC,South Carolina,SC,republican,5084127,6,117,80,576,232,147,1297,14
2020-10-15,sdhealthdepartment,South Dakota Department of Health,South Dakota,SD,republican,882235,3,57,57,327,93,120,797,13
2020-10-15,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,4,462,84,1295,560,189,1943,28
2020-10-15,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,2,204,1,386,110,71,4888,94
2020-10-15,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,5,400,435,1636,247,554,2289,36
2020-10-15,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,4,93,0,148,18,37,1331,7
2020-10-15,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,4,220,6,404,144,34,775,4
2020-10-15,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,2,8,0,10,0,2,198,0
2020-10-15,wv.dhhr,WV Department of Health & Human Resources,West Virginia,WV,republican,1805832,15,55,23,292,23,191,261,2
2020-10-16,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,6,238,50,1206,236,682,1312,30
2020-10-16,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,3,355,3,532,71,103,224,1
2020-10-16,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,4,198,57,679,185,239,1015,20
2020-10-16,azdhs,Arizona Department of Health Services,Arizona,AZ,republican,7171646,1,45,2,103,35,21,738,17
2020-10-16,capublichealth,California Department of Public Health,California,CA,democratic,39557045,1,55,24,130,16,35,3220,78
2020-10-16,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,3,498,49,1027,389,91,1312,10
2020-10-16,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,2,47,10,164,16,91,802,2
2020-10-16,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,4,3,1,5,1,0,89,3
2020-10-16,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,5,37,5,52,2,8,164,1
2020-10-16,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,7,845,654,3389,1152,738,3861,36
2020-10-16,hawaiidoh,Hawaii State Department of Health,Hawaii,HI,democratic,1420491,2,7,0,23,9,7,89,1
2020-10-16,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,20,499,8,700,69,124,253,3
2020-10-16,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,3,24,0,35,0,11,12,0
2020-10-16,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,3,139,0,232,23,70,2264,18
2020-10-16,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,4,767,302,2486,593,824,1116,8
2020-10-16,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,4,100,34,298,105,59,1094,6
2020-10-16,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,4,543,206,1571,518,304,5106,52
2020-10-16,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,4,94,1,167,52,20,1690,8
2020-10-16,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,1,14,11,37,1,11,774,20
2020-10-16,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,2,64,0,98,22,12,781,4
2020-10-16,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,4,6415,79,10271,2387,1390,2206,15
